paper_id,baseline_input_tokens,compact_input_tokens,baseline_output_tokens,compact_output_tokens,baseline_calls,compact_calls,baseline_vision_pages,compact_vision_pages,baseline_cost_usd,compact_cost_usd_lower_bound,baseline_accepted_outcomes,compact_accepted_outcomes,compact_main_latency_seconds
GP-001,0,19933,0,249,0,1,0,0,0.00000000,0.00872500,0,0,4.8809
GP-002,56515,19265,29187,5068,3,1,0,0,0.80968500,0.13622125,7,6,32.161284
GP-003,27289,19335,8564,212,3,1,0,0,0.23434000,0.06360000,0,0,5.896487
GP-004,67825,20049,28098,4266,3,1,0,0,0.72210562,0.12664125,8,4,25.251597
GP-005,28544,20551,18450,4676,2,1,0,0,0.51385163,0.13436000,9,3,27.854502
GP-006,54075,20315,20256,4197,3,2,0,1,0.60932250,0.12643750,7,7,27.810625
GP-007,30841,19993,18178,3247,2,1,0,0,0.52046287,0.05371000,8,3,22.345167
GP-008,41971,20831,15665,3806,2,1,0,0,0.52398913,0.12218500,7,2,26.947706
GP-009,34143,20508,25600,387,2,1,0,0,0.69108975,0.01093875,0,0,5.182918
